census_tract,data_redacted,num_bll_5plus,num_screen,perc_5plus
42101000100,false,0,100,0
42101000200,true,,109,
42101000300,true,,110,
42101000401,true,,61,
42101000402,false,0,41,0
42101000500,true,,49,
42101000600,false,0,24,0
42101000700,false,0,57,0
42101000801,true,,57,
42101000803,false,0,63,0
42101000804,false,0,86,0
42101000901,false,0,21,0
42101000902,true,,62,
42101001001,false,0,68,0
42101001002,false,0,82,0
42101001101,true,,91,
42101001102,true,,79,
42101001201,true,,137,
42101001202,true,,141,
42101001300,true,,435,
42101001400,true,,237,
42101001500,true,,138,
42101001600,false,0,107,0
42101001700,true,,127,
42101001800,true,,154,
42101001900,false,6,195,3.1
42101002000,false,8,105,7.6
42101002100,true,,128,
42101002200,false,7,121,5.8
42101002300,true,,156,
42101002400,false,6,301,2
42101002500,true,,258,
42101002701,false,12,275,4.4
42101002702,true,,143,
42101002801,false,12,362,3.3
42101002802,true,,306,
42101002900,true,,198,
42101003001,false,14,260,5.4
42101003002,false,17,192,8.9
42101003100,false,14,326,4.3
42101003200,false,19,374,5.1
42101003300,false,20,485,4.1
42101003600,false,14,472,3
42101003701,false,16,444,3.6
42101003702,false,12,277,4.3
42101003800,true,,162,
42101003901,false,8,293,2.7
42101003902,true,,193,
42101004001,false,6,189,3.2
42101004002,true,,209,
42101004101,false,26,562,4.6
42101004102,false,45,674,6.7
42101004201,false,7,215,3.3
42101004202,true,,221,
42101005000,true,,,
42101005400,false,0,43,0
42101007900,false,17,242,7
42101005500,false,0,254,0
42101005600,true,,114,
42101006000,false,22,452,4.9
42101006100,false,7,244,2.9
42101006200,false,25,390,6.4
42101006300,false,20,365,5.5
42101006400,false,23,404,5.7
42101006500,false,23,350,6.6
42101006600,false,20,315,6.3
42101006700,false,26,617,4.2
42101006900,false,14,231,6.1
42101007000,false,24,273,8.8
42101007101,false,18,202,8.9
42101007102,false,31,345,9
42101007200,false,38,349,10.9
42101007300,false,17,220,7.7
42101007400,false,33,285,11.6
42101007700,true,,67,
42101007800,false,11,157,7
42101008000,false,16,246,6.5
42101008101,false,13,213,6.1
42101008102,false,31,362,8.6
42101008200,false,38,454,8.4
42101008301,false,15,212,7.1
42101008302,false,22,339,6.5
42101008400,false,29,308,9.4
42101008500,false,30,492,6.1
42101008601,false,7,182,3.8
42101008602,true,,181,
42101008701,false,12,192,6.3
42101008702,true,,87,
42101008801,true,,,
42101008802,true,,46,
42101009000,false,0,25,0
42101009100,true,,101,
42101009200,false,9,223,4
42101009300,false,19,315,6
42101009400,false,14,306,4.6
42101009500,false,11,253,4.3
42101009600,false,14,314,4.5
42101009801,false,0,96,0
42101009802,true,,259,
42101010000,false,12,246,4.9
42101010100,false,15,319,4.7
42101010200,false,17,235,7.2
42101010300,false,10,192,5.2
42101011200,false,20,391,5.1
42101010400,false,16,314,5.1
42101010500,false,8,208,3.8
42101010600,false,6,108,5.6
42101010700,false,11,293,3.8
42101010800,false,25,287,8.7
42101010900,true,,147,
42101011000,false,20,286,7
42101011100,false,24,281,8.5
42101014800,false,6,64,9.4
42101011300,false,6,140,4.3
42101011400,false,30,353,8.5
42101011500,false,18,217,8.3
42101011700,true,,20,0
42101011800,false,13,237,5.5
42101011900,false,19,283,6.7
42101012000,true,,34,
42101012100,true,,104,
42101012201,false,0,62,0
42101012203,false,0,48,0
42101012204,true,,121,
42101012500,false,0,150,0
42101013100,true,,102,
42101013200,true,,205,
42101013300,false,8,129,6.2
42101013401,true,,52,
42101013402,true,,98,
42101013500,false,8,198,4
42101013601,true,,153,
42101013602,true,,216,
42101013700,false,22,333,6.6
42101013800,false,17,157,10.8
42101018800,false,66,742,8.9
42101013900,false,14,264,5.3
42101014000,false,7,140,5
42101014100,true,,125,
42101014200,false,6,159,3.8
42101014300,true,,73,
42101014400,false,13,204,6.4
42101014500,true,,111,
42101014600,true,,92,
42101014700,false,8,139,5.8
42101014900,false,43,332,13
42101015101,false,22,161,13.7
42101015102,false,36,386,9.3
42101015200,false,35,665,5.3
42101015300,false,8,146,5.5
42101015600,true,,123,
42101015700,false,10,159,6.3
42101015800,false,10,262,3.8
42101016000,false,13,343,3.8
42101016100,false,18,381,4.7
42101016200,false,11,177,6.2
42101016300,false,19,309,6.1
42101016400,false,35,417,8.4
42101016500,false,29,315,9.2
42101016600,false,16,102,15.7
42101016701,false,38,289,13.1
42101016702,false,21,213,9.9
42101019800,false,49,549,8.9
42101016800,false,34,291,11.7
42101016901,false,46,286,16.1
42101016902,false,59,429,13.8
42101017000,false,12,142,8.5
42101017100,false,31,266,11.7
42101017201,false,29,227,12.8
42101017202,false,36,298,12.1
42101017300,false,32,262,12.2
42101017400,false,27,239,11.3
42101017500,false,41,685,6
42101017601,false,30,566,5.3
42101017602,false,30,390,7.7
42101017701,false,44,425,10.4
42101017702,false,41,534,7.7
42101017800,false,49,636,7.7
42101024100,true,,39,
42101017900,false,46,597,7.7
42101018001,false,6,121,5
42101018002,false,8,276,2.9
42101018300,true,,89,
42101018400,true,,80,
42101019000,false,33,622,5.3
42101019100,false,7,571,1.2
42101019200,false,63,846,7.4
42101019501,false,28,486,5.8
42101019502,false,24,348,6.9
42101019700,false,56,642,8.7
42101019900,false,40,430,9.3
42101020000,false,19,108,17.6
42101020101,false,36,282,12.8
42101020102,false,28,246,11.4
42101020200,false,52,393,13.2
42101020300,false,34,219,15.5
42101020400,false,39,238,16.4
42101020500,false,16,173,9.2
42101020600,true,,59,
42101020700,true,,318,
42101020800,true,,49,0
42101020900,false,10,113,8.8
42101021000,true,,176,
42101021100,true,,124,
42101021200,true,,121,0
42101021300,false,9,150,6
42101021400,true,,99,
42101021500,true,,171,
42101022000,false,0,38,0
42101021600,true,,96,
42101021700,true,,270,
42101021800,true,,166,
42101021900,true,,47,
42101024000,false,12,157,7.6
42101023100,false,0,56,0
42101023500,true,,30,
42101023600,false,7,90,7.8
42101023700,false,18,185,9.7
42101023800,false,26,198,13.1
42101023900,true,,49,
42101024200,false,42,333,12.6
42101024300,false,22,256,8.6
42101024400,false,26,231,11.3
42101024500,false,44,342,12.9
42101024600,false,22,199,11.1
42101024700,false,40,314,12.7
42101024800,false,8,126,6.3
42101024900,false,13,227,5.7
42101025200,false,45,425,10.6
42101025300,false,26,280,9.3
42101025400,true,,166,
42101025500,false,7,103,6.8
42101025600,true,,94,
42101025700,true,,124,
42101025800,false,0,45,0
42101025900,true,,181,
42101028800,false,24,370,6.5
42101026000,true,,103,
42101026100,true,,92,
42101026200,true,,130,
42101026301,false,6,167,3.6
42101026302,false,12,228,5.3
42101026400,false,7,203,3.4
